label,text,source
Business,"Sharp fall in government borrowing in December, figures show. More money than expected was collected through tax and higher National Insurance Contributions, although public sector spending also increased.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Decision on Manchester-London 'ghost train' was uninformed, regulator admits. The Office of Road and Rail says it was missing ""critical points"" when it made a decision.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Trump says 'framework of a future deal' discussed on Greenland as he backs off tariffs threat. At Davos, the US president said he would not use force to take the island and later floated a possible ""forever"" deal.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Trump credit card plan would be a 'disaster', JP Morgan boss warns. Jamie Dimon said Donald Trump's interest rate cap proposal would restrict Americans' access to credit.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Bezos' Blue Origin announces satellite rival to Musk's Starlink. Blue Origin will be focused on businesses and governments, while Starlink also offers services to individual customers.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,How Slovakia became the world's number one carmaker. The European country is the biggest autos manufacturer relative to the size of its population.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,Faisal Islam: What it was like inside the room with Donald Trump at Davos. Our economics editor says there was mixed reaction in the room during Trump's Davos speech.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Supreme Court sceptical of Trump firing of Lisa Cook. One conservative justice warned that the White House interpretation of the law could ""shatter"" Federal Reserve independence.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,UK inflation rises for first time in five months - but one-off factors blamed. It is the last set of monthly inflation figures before the next interest rate decision on 5 February.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"EU suspends approval of US trade deal. The move follows renewed tensions between the US and EU, as Donald Trump pushes to acquire Greenland.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,Next buys shoe chain Russell & Bromley but 33 shops at risk. The ailing shoe seller has found a saviour in Next's £2.5m pound offer.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Ryanair boss thanks Elon Musk for 'boost' in ticket sales after online row. Musk and Ryanair boss Michael O'Leary have called each other ""idiots"" in recent days, but the airline executive says it's helping lift sales",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,Driving test cheating soars as candidates turn to Bluetooth headsets and impersonators. Experts blamed persistently long waits for practical tests while the DVSA blamed better detection.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Snap settles social media addiction lawsuit ahead of trial. TikTok, YouTube and Meta remain defendants in the case, which is due to kick off next week.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Air India crash plane had record of safety defects, campaigners claim. Campaigners say they have evidence the plane had previously suffered a series of technical failures, including a fire.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,UK homes to get £15bn for solar and green tech to cut energy bills. The government has announced the details of its long-awaited Warm Homes Plan which promises to cut energy bills.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,Alleged scam mastermind arrested after being exposed by BBC. Kuong Li featured in a 2023 BBC Eye investigation into alleged scam compounds in South East Asia.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Netflix updates Warner Bros bid to all-cash offer. It is the latest skirmish in the bidding war over Warner Bros Discovery, which is also being pursued by Paramount Skydance.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,Wage growth slows as number of people employed falls. Official figures show that the pace of private sector wage growth slowed to the lowest rate in five years.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Toy sellers keep close watch on social media ban. Toys for teenagers and adults have revived the industry, but it could be hit by any ban on social media for under-16s.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Greenland 'will stay Greenland', former Trump adviser declares. Donald Trump's former chief economic adviser said the US president's actions are a negotiating tactic.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"UK consulting on bringing in social media ban for under 16s. The government said it expected schools to be ""phone-free by default"" as a result of the announcement.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Water companies to face regular MOT-style checks in industry shake-up. The government says the industry will have ""nowhere to hide"", but campaigners say the reforms do not go far enough.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,Environment Secretary: South East Water boss 'should not get bonus'. Emma Reynolds said South East Water was the poorest performer of all water companies,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,Hiring woes and 'super high' prices: Voters say Trump's progress on the US economy is mixed. We asked six Americans what they make of the US economy one year after President Trump returned to the White House.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,How could Europe respond to Trump's Greenland tariffs?. Europe is weighing up how to counter the US president's move against some of America's closest allies.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,Faisal Islam: Global disruption looms large over biggest-ever Davos. Expect the World Economic Forum this week to be both the centre of the world and totally bizarre.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Trump says tiny cars are amazing but will Americans actually buy them?. The president wants to bring to the US tiny vehicles, like those commonly seen on the streets of Japan.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Are 'tech dense' farms the future of farming?. A host of technology is on offer to farmers, promising to raise farming yields and lower food prices.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,'The finest in the world': Why the US is buying icebreakers from Finland. The Nordic nation leads the way when it comes to both the design and construction of the vessels.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
